iter	Logloss
0	0.6240703431
1	0.5668348715
2	0.5192874098
3	0.4794090284
4	0.4454256006
5	0.4164087839
6	0.3905972687
7	0.3686855302
8	0.3495138789
9	0.3330578072
10	0.3182644901
11	0.3056265475
12	0.2943777748
13	0.2845295538
14	0.2755082845
15	0.2675363174
16	0.2605877584
17	0.2544298967
18	0.2488150641
19	0.2439541338
20	0.2394275671
21	0.2354078914
22	0.2320410458
23	0.2287419424
24	0.2258061189
25	0.2228851914
26	0.2203470608
27	0.21796478
28	0.2158676017
29	0.2137546431
30	0.2118626648
31	0.2100625024
32	0.2083286904
33	0.2070143785
34	0.2057607673
35	0.2044376751
36	0.2034007307
37	0.2023081243
38	0.2015112884
39	0.2003130332
40	0.1992482349
41	0.1981874512
42	0.1972875944
43	0.1963927671
44	0.1956965074
45	0.195100521
46	0.1944980485
47	0.1940346305
48	0.193555058
49	0.1927594088
50	0.1922967027
51	0.1917690474
52	0.1912601541
53	0.1905849246
54	0.1901863215
55	0.1895514572
56	0.1891790608
57	0.1888743694
58	0.1885667104
59	0.1880179117
60	0.1874982839
61	0.1870121328
62	0.1865848004
63	0.1862482079
64	0.1857243263
65	0.1854007108
66	0.1850179514
67	0.184849077
68	0.184437809
69	0.1841883533
70	0.1838732739
71	0.1835984445
72	0.1831385325
73	0.1828659765
74	0.1823755182
75	0.1821609487
76	0.1818308751
77	0.181574859
78	0.1811955918
79	0.1809352433
80	0.1807736604
81	0.1804204983
82	0.1801798296
83	0.1797011643
84	0.1794020735
85	0.1792141054
86	0.178951691
87	0.1787397825
88	0.1785304208
89	0.1782418708
90	0.1775969448
91	0.1772558142
92	0.1769264301
93	0.176588998
94	0.1761609451
95	0.1757352906
96	0.1755310068
97	0.1752832428
98	0.1751169597
99	0.1749893097
