iter	Passed	Remaining
0	284	28191
1	418	20489
2	553	17882
3	681	16364
4	797	15157
5	911	14281
6	1040	13823
7	1168	13436
8	1287	13017
9	1409	12683
10	1513	12243
11	1606	11782
12	1698	11367
13	1785	10970
14	1872	10609
15	1960	10290
16	2044	9984
17	2133	9719
18	2216	9450
19	2301	9206
20	2388	8983
21	2469	8755
22	2552	8545
23	2650	8393
24	2733	8199
25	2815	8013
26	2901	7844
27	2993	7697
28	3087	7558
29	3173	7404
30	3256	7247
31	3338	7095
32	3422	6949
33	3502	6799
34	3590	6667
35	3671	6526
36	3750	6386
37	3835	6258
38	3915	6124
39	3997	5995
40	4079	5870
41	4170	5759
42	4253	5637
43	4337	5520
44	4421	5403
45	4506	5289
46	4587	5173
47	4672	5061
48	4753	4947
49	4831	4831
50	4912	4719
51	4995	4611
52	5080	4505
53	5166	4401
54	5250	4296
55	5330	4188
56	5414	4084
57	5499	3982
58	5585	3881
59	5676	3784
60	5757	3680
61	5839	3579
62	5919	3476
63	6002	3376
64	6086	3277
65	6170	3178
66	6249	3077
67	6332	2980
68	6414	2881
69	6495	2783
70	6578	2686
71	6658	2589
72	6738	2492
73	6819	2395
74	6900	2300
75	6982	2204
76	7063	2110
77	7149	2016
78	7230	1921
79	7312	1828
80	7395	1734
81	7478	1641
82	7563	1549
83	7659	1459
84	7767	1370
85	7871	1281
86	7972	1191
87	8050	1097
88	8132	1005
89	8214	912
90	8294	820
91	8373	728
92	8455	636
93	8536	544
94	8620	453
95	8701	362
96	8784	271
97	8866	180
98	8948	90
99	9029	0
